id	accession	pfam	profile_label	control_for	control_rank	swept	organism	taxid	length	score	model_cov	candidates	clade_frac	strength	strength_note	group	protein_name	kept	screen_reason	reason
A0AAV9Y0A3|RS030_172601|Cryptosporidium_xiaoi|Conoidasida|CONTROL	A0AAV9Y0A3	PF02815	MIR	Conoidasida	class	24	Cryptosporidium xiaoi	659607	231	33.2	0.3027	1	0.0435	weak	not named a mannosyltransferase; 231 aa — a short MIR-only protein, not the full PMT (< 600); PF02815 found in only 4% of the clade's swept proteomes	protista_other	MIR domain-containing protein	1	assigned unassigned by the screen (itpr 20 / ryr 0 bits)	D14 decoy control for Conoidasida: best PF02815 protein in Conoidasida (33 bits, 231 aa, unnamed); the clade S20 swept 24 proteomes of for 0 ITPR; control is weak — not named a mannosyltransferase; 231 aa — a short MIR-only protein, not the full PMT (< 600); PF02815 found in only 4% of the clade's swept proteomes
A0A9W7Y6C8|PMT2_2|Coemansia_erecta|Kickxellomycetes|CONTROL	A0A9W7Y6C8	PF02815	MIR	Kickxellomycetes	class	23	Coemansia erecta	147472	2218	248.4	0.9351	182	1.0	strong	a named mannosyltransferase of full length, present across 100% of the clade	fungi	dolichyl-phosphate-mannose--protein mannosyltransferase	1	assigned unassigned by the screen (itpr 9 / ryr 0 bits)	D14 decoy control for Kickxellomycetes: best PF02815 protein in Kickxellomycetes (248 bits, 2218 aa, named a mannosyltransferase); the clade S20 swept 23 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 100% of the clade
A0AAV1I2H9|CVIRNUC_004794|Coccomyxa_viridis|Trebouxiophyceae|CONTROL	A0AAV1I2H9	PF02815	MIR	Trebouxiophyceae	class	19	Coccomyxa viridis	1274662	208	66.5	0.1243	14	0.8235	weak	not named a mannosyltransferase; 208 aa — a short MIR-only protein, not the full PMT (< 600)	viridiplantae	MIR domain-containing protein	1	assigned unassigned by the screen (itpr 29 / ryr 0 bits)	D14 decoy control for Trebouxiophyceae: best PF02815 protein in Trebouxiophyceae (66 bits, 208 aa, unnamed); the clade S20 swept 19 proteomes of for 0 ITPR; control is weak — not named a mannosyltransferase; 208 aa — a short MIR-only protein, not the full PMT (< 600)
A0A9P5VM63|BG006_005680|Podila_minutissima|Mortierellomycetes|CONTROL	A0A9P5VM63	PF02815	MIR	Mortierellomycetes	class	18	Podila minutissima	64525	910	137.2	0.9892	113	1.0	strong	a named mannosyltransferase of full length, present across 100% of the clade	fungi	Dolichyl-phosphate-mannose--protein mannosyltransferase	1	assigned no_hit by the screen (itpr 0 / ryr 0 bits)	D14 decoy control for Mortierellomycetes: best PF02815 protein in Mortierellomycetes (137 bits, 910 aa, named a mannosyltransferase); the clade S20 swept 18 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 100% of the clade
A0A4U7KRL0|EX895_003660|Sporisorium_graminicola|Ustilaginomycetes|CONTROL	A0A4U7KRL0	PF02815	MIR	Ustilaginomycetes	class	16	Sporisorium graminicola	280036	959	143.0	0.9892	50	1.0	strong	a named mannosyltransferase of full length, present across 100% of the clade	fungi	Dolichyl-phosphate-mannose--protein mannosyltransferase	1	assigned no_hit by the screen (itpr 0 / ryr 0 bits)	D14 decoy control for Ustilaginomycetes: best PF02815 protein in Ustilaginomycetes (143 bits, 959 aa, named a mannosyltransferase); the clade S20 swept 16 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 100% of the clade
M5EA22|MSYG_2930|Malassezia_sympodialis|Malasseziomycetes|CONTROL	M5EA22	PF02815	MIR	Malasseziomycetes	class	16	Malassezia sympodialis (strain ATCC 42132)	1230383	889	112.9	0.9892	48	1.0	strong	a named mannosyltransferase of full length, present across 100% of the clade	fungi	Dolichyl-phosphate-mannose--protein mannosyltransferase	1	assigned no_hit by the screen (itpr 0 / ryr 0 bits)	D14 decoy control for Malasseziomycetes: best PF02815 protein in Malasseziomycetes (113 bits, 889 aa, named a mannosyltransferase); the clade S20 swept 16 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 100% of the clade
A0A177UKF7|JKIAZH3_G5040|Tilletia_caries|Exobasidiomycetes|CONTROL	A0A177UKF7	PF02815	MIR	Exobasidiomycetes	class	15	Tilletia caries	13290	981	132.9	0.9892	43	1.0	strong	a named mannosyltransferase of full length, present across 100% of the clade	fungi	Dolichyl-phosphate-mannose--protein mannosyltransferase	1	assigned no_hit by the screen (itpr 0 / ryr 0 bits)	D14 decoy control for Exobasidiomycetes: best PF02815 protein in Exobasidiomycetes (133 bits, 981 aa, named a mannosyltransferase); the clade S20 swept 15 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 100% of the clade
A0AAV0APX6|PPACK8108_LOCUS5708|Phakopsora_pachyrhizi|Pucciniomycetes|CONTROL	A0AAV0APX6	PF02815	MIR	Pucciniomycetes	class	14	Phakopsora pachyrhizi	170000	820	120.2	0.9892	50	1.0	strong	a named mannosyltransferase of full length, present across 100% of the clade	fungi	Dolichyl-phosphate-mannose--protein mannosyltransferase	1	assigned no_hit by the screen (itpr 0 / ryr 0 bits)	D14 decoy control for Pucciniomycetes: best PF02815 protein in Pucciniomycetes (120 bits, 820 aa, named a mannosyltransferase); the clade S20 swept 14 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 100% of the clade
A0A0D6EMK1|SPOSA6832_02852|Sporidiobolus_salmonicolor|Microbotryomycetes|CONTROL	A0A0D6EMK1	PF02815	MIR	Microbotryomycetes	class	13	Sporidiobolus salmonicolor	5005	959	132.3	0.9892	39	1.0	strong	a named mannosyltransferase of full length, present across 100% of the clade	fungi	Dolichyl-phosphate-mannose--protein mannosyltransferase	1	assigned no_hit by the screen (itpr 0 / ryr 0 bits)	D14 decoy control for Microbotryomycetes: best PF02815 protein in Microbotryomycetes (132 bits, 959 aa, named a mannosyltransferase); the clade S20 swept 13 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 100% of the clade
A0ACE1STM5|PMT1|Xanthoria_parietina|Lecanoromycetes|CONTROL	A0ACE1STM5	PF02815	MIR	Lecanoromycetes	class	13	Xanthoria parietina	107463	922	160.2	0.9892	39	1.0	strong	a named mannosyltransferase of full length, present across 100% of the clade	fungi	Dolichyl-phosphate-mannose--protein mannosyltransferase 1	1	assigned no_hit by the screen (itpr 0 / ryr 0 bits)	D14 decoy control for Lecanoromycetes: best PF02815 protein in Lecanoromycetes (160 bits, 922 aa, named a mannosyltransferase); the clade S20 swept 13 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 100% of the clade
A0A3N4LBK7|L211DRAFT_792467|Terfezia_boudieri_ATCC_MYA-4762|Pezizomycetes|CONTROL	A0A3N4LBK7	PF02815	MIR	Pezizomycetes	class	12	Terfezia boudieri ATCC MYA-4762	1051890	897	158.7	0.9892	34	1.0	strong	a named mannosyltransferase of full length, present across 100% of the clade	fungi	Dolichyl-phosphate-mannose--protein mannosyltransferase	1	assigned no_hit by the screen (itpr 0 / ryr 0 bits)	D14 decoy control for Pezizomycetes: best PF02815 protein in Pezizomycetes (159 bits, 897 aa, named a mannosyltransferase); the clade S20 swept 12 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 100% of the clade
A0AAN8RJ86|TWF506_002945|Arthrobotrys_conoides|Orbiliomycetes|CONTROL	A0AAN8RJ86	PF02815	MIR	Orbiliomycetes	class	12	Arthrobotrys conoides	74498	1019	144.7	0.9946	32	0.9167	strong	a named mannosyltransferase of full length, present across 92% of the clade	fungi	dolichyl-phosphate-mannose--protein mannosyltransferase	1	assigned no_hit by the screen (itpr 0 / ryr 0 bits)	D14 decoy control for Orbiliomycetes: best PF02815 protein in Orbiliomycetes (145 bits, 1019 aa, named a mannosyltransferase); the clade S20 swept 12 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 92% of the clade
A0A0R3TP59|HNAJ_LOCUS9227|Rodentolepis_nana|Cestoda|CONTROL	A0A0R3TP59	PF02815	MIR	Cestoda	class	11	Rodentolepis nana	102285	931	144.2	0.4541	11	1.0	weak	not named a mannosyltransferase	metazoa_nonvert	MIR domain-containing protein	0	assigned RYR by the screen (itpr 179 / ryr 1121 bits)	D14 decoy control for Cestoda: best PF02815 protein in Cestoda (144 bits, 931 aa, unnamed); the clade S20 swept 11 proteomes of for 0 ITPR; control is weak — not named a mannosyltransferase
A0ABR1F347|BZA70DRAFT_281849|Myxozyma_melibiosi|Lipomycetes|CONTROL	A0ABR1F347	PF02815	MIR	Lipomycetes	class	10	Myxozyma melibiosi	54550	767	169.8	0.9892	30	1.0	strong	a named mannosyltransferase of full length, present across 100% of the clade	fungi	Dolichyl-phosphate-mannose--protein mannosyltransferase	1	assigned no_hit by the screen (itpr 0 / ryr 0 bits)	D14 decoy control for Lipomycetes: best PF02815 protein in Lipomycetes (170 bits, 767 aa, named a mannosyltransferase); the clade S20 swept 10 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 100% of the clade
A0A0F9WRL3|AAJ76_1800036836|Vairimorpha_ceranae|Microsporidia|CONTROL	A0A0F9WRL3	PF02815	MIR	Microsporidia	phylum	29	Vairimorpha ceranae	40302	657	73.9	0.9405	28	0.8276	strong	a named mannosyltransferase of full length, present across 83% of the clade	fungi	Dolichyl-phosphate-mannose--protein mannosyltransferase	1	assigned no_hit by the screen (itpr 0 / ryr 0 bits)	D14 decoy control for Microsporidia: best PF02815 protein in Microsporidia (74 bits, 657 aa, named a mannosyltransferase); the clade S20 swept 29 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 83% of the clade
A0ABD3PUM4|HJC23_000896|Cyclotella_cryptica|Bacillariophyta|CONTROL	A0ABD3PUM4	PF02815	MIR	Bacillariophyta	phylum	16	Cyclotella cryptica	29204	217	60.2	0.227	17	1.0	weak	not named a mannosyltransferase; 217 aa — a short MIR-only protein, not the full PMT (< 600)	protista_other	MIR domain-containing protein	1	assigned unassigned by the screen (itpr 13 / ryr 0 bits)	D14 decoy control for Bacillariophyta: best PF02815 protein in Bacillariophyta (60 bits, 217 aa, unnamed); the clade S20 swept 16 proteomes of for 0 ITPR; control is weak — not named a mannosyltransferase; 217 aa — a short MIR-only protein, not the full PMT (< 600)
A0A2V3J3L8|BWQ96_01756|Gracilariopsis_chorda|Rhodophyta|CONTROL	A0A2V3J3L8	PF02815	MIR	Rhodophyta	phylum	12	Gracilariopsis chorda	448386	219	66.6	0.1514	11	0.9167	weak	not named a mannosyltransferase; 219 aa — a short MIR-only protein, not the full PMT (< 600)	protista_other	Stromal cell-derived factor 2-like protein	1	assigned unassigned by the screen (itpr 12 / ryr 0 bits)	D14 decoy control for Rhodophyta: best PF02815 protein in Rhodophyta (67 bits, 219 aa, unnamed); the clade S20 swept 12 proteomes of for 0 ITPR; control is weak — not named a mannosyltransferase; 219 aa — a short MIR-only protein, not the full PMT (< 600)
